Filename	Time	CH D - V	CH D - I(μA)	CH D - R(Ω)
C:\Users\cbio_prototype\Desktop\220507\900\0159_133015324843302135.tif	2022-07-05 15:08:04.142	800.047	85.365	9372056.111
C:\Users\cbio_prototype\Desktop\220507\900\0160_133015324843614740.tif	2022-07-05 15:08:04.142	800.047	85.365	9372056.111
C:\Users\cbio_prototype\Desktop\220507\900\0161_133015324843771018.tif	2022-07-05 15:08:04.142	800.047	85.365	9372056.111
C:\Users\cbio_prototype\Desktop\220507\900\0162_133015324843927321.tif	2022-07-05 15:08:04.142	800.047	85.365	9372056.111
C:\Users\cbio_prototype\Desktop\220507\900\0163_133015324844239912.tif	2022-07-05 15:08:04.408	800.001	85.644	9340946.278
C:\Users\cbio_prototype\Desktop\220507\900\0164_133015324844396214.tif	2022-07-05 15:08:04.408	800.001	85.644	9340946.278
C:\Users\cbio_prototype\Desktop\220507\900\0165_133015324844708800.tif	2022-07-05 15:08:04.408	800.001	85.644	9340946.278
C:\Users\cbio_prototype\Desktop\220507\900\0166_133015324844865110.tif	2022-07-05 15:08:04.408	800.001	85.644	9340946.278
C:\Users\cbio_prototype\Desktop\220507\900\0167_133015324845021399.tif	2022-07-05 15:08:04.408	800.001	85.644	9340946.278
C:\Users\cbio_prototype\Desktop\220507\900\0168_133015324845334016.tif	2022-07-05 15:08:04.408	800.001	85.644	9340946.278
C:\Users\cbio_prototype\Desktop\220507\900\0169_133015324845490293.tif	2022-07-05 15:08:04.408	800.001	85.644	9340946.278
C:\Users\cbio_prototype\Desktop\220507\900\0170_133015324845802888.tif	2022-07-05 15:08:04.408	800.001	85.644	9340946.278
C:\Users\cbio_prototype\Desktop\220507\900\0171_133015324845959192.tif	2022-07-05 15:08:04.408	800.001	85.644	9340946.278
C:\Users\cbio_prototype\Desktop\220507\900\0172_133015324846115484.tif	2022-07-05 15:08:04.408	800.001	85.644	9340946.278
C:\Users\cbio_prototype\Desktop\220507\900\0173_133015324846428063.tif	2022-07-05 15:08:04.408	800.001	85.644	9340946.278
C:\Users\cbio_prototype\Desktop\220507\900\0174_133015324846584541.tif	2022-07-05 15:08:04.408	800.001	85.644	9340946.278
C:\Users\cbio_prototype\Desktop\220507\900\0175_133015324846897057.tif	2022-07-05 15:08:04.674	800.015	85.677	9337542.768
C:\Users\cbio_prototype\Desktop\220507\900\0176_133015324847053270.tif	2022-07-05 15:08:04.674	800.015	85.677	9337542.768
C:\Users\cbio_prototype\Desktop\220507\900\0177_133015324847209563.tif	2022-07-05 15:08:04.674	800.015	85.677	9337542.768
C:\Users\cbio_prototype\Desktop\220507\900\0178_133015324847522176.tif	2022-07-05 15:08:04.674	800.015	85.677	9337542.768
C:\Users\cbio_prototype\Desktop\220507\900\0179_133015324847678466.tif	2022-07-05 15:08:04.674	800.015	85.677	9337542.768
C:\Users\cbio_prototype\Desktop\220507\900\0180_133015324847834760.tif	2022-07-05 15:08:04.674	800.015	85.677	9337542.768
C:\Users\cbio_prototype\Desktop\220507\900\0181_133015324848147337.tif	2022-07-05 15:08:04.674	800.015	85.677	9337542.768
C:\Users\cbio_prototype\Desktop\220507\900\0182_133015324848303635.tif	2022-07-05 15:08:04.674	800.015	85.677	9337542.768
C:\Users\cbio_prototype\Desktop\220507\900\0183_133015324848616244.tif	2022-07-05 15:08:04.674	800.015	85.677	9337542.768
C:\Users\cbio_prototype\Desktop\220507\900\0184_133015324848772533.tif	2022-07-05 15:08:04.674	800.015	85.677	9337542.768
C:\Users\cbio_prototype\Desktop\220507\900\0185_133015324848928848.tif	2022-07-05 15:08:04.674	800.015	85.677	9337542.768
C:\Users\cbio_prototype\Desktop\220507\900\0186_133015324849241422.tif	2022-07-05 15:08:04.674	800.015	85.677	9337542.768
C:\Users\cbio_prototype\Desktop\220507\900\0187_133015324849397728.tif	2022-07-05 15:08:04.674	800.015	85.677	9337542.768
C:\Users\cbio_prototype\Desktop\220507\900\0187_133015324849397728.tif	2022-07-05 15:08:04.939	799.996	85.831	9320574.533
C:\Users\cbio_prototype\Desktop\220507\900\0188_133015324849710320.tif	2022-07-05 15:08:04.939	799.996	85.831	9320574.533
